search_name,uuid,occurrenceid,catalognumber,family,genus,scientificname,country,stateprovince,geopoint.lon,geopoint.lat,datecollected,collector,recordset,year
Aparatrigona impunctata,28152b69-8e0f-46d8-a0f1-b1bf0372d736,a0dfaebf-f190-44a6-b0ea-d50f903a3607,inpa-hym 006040,apidae,paratrigona,aparatrigona impunctata,brasil,amazonas,-59.9833333,-3.0666667,NA,renner,00038086-3303-4b89-b2d6-1b84e7598f0e,NA
Aparatrigona impunctata,2852be1e-f94c-444d-af44-d733b91584a8,5f4fc087-2923-4c97-ada9-b984ab566b7a,1370400,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,-52.71416,5.2139,NA,"michener, charles",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,29fdfe90-dd9f-4e9b-b48b-337af5fe1caf,1b241956-0f89-42e7-97ff-20da8f9b2b7c,1370414,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,-52.71416,5.2139,NA,"michener, charles",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,2a0fecfc-7398-493b-b40d-9b52610d8928,e021933f-518b-4d2a-bad9-ffb0d83bbff3,inpa-hym 006025,apidae,paratrigona,aparatrigona impunctata,brasil,amazonas,NA,NA,NA,"garcia, marcos",00038086-3303-4b89-b2d6-1b84e7598f0e,NA
Aparatrigona impunctata,2a7d40a0-f446-4a62-92f8-db9621f0c1b8,41aefe54-1ed6-11e3-bfac-90b11c41863e,556457,apidae,paratrigona,aparatrigona impunctata,guyana,region 10,-58.215,6.4933333,NA,"brooks, r & falin, z",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,312567dc-4638-466f-806d-41dd35cbd567,2414d0b7-1ed6-11e3-bfac-90b11c41863e,556436,apidae,paratrigona,aparatrigona impunctata,guyana,region 10,-58.215,6.4933333,NA,"brooks, r & falin, z",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,32a21bbe-ed29-498f-b0a6-1b29ff837d75,1a469cfc-76e0-4cc2-8304-5c77ee4d5a2e,1370456,apidae,paratrigona,aparatrigona impunctata,brazil,para,NA,NA,NA,camargo,568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,3319421d-c96d-4be1-ae28-262f410b9437,6a848060-c439-47f7-be78-151d427c180f,1370406,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,-52.71416,5.2139,NA,"michener, charles",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,33e927e7-041b-4c03-90b3-b500aca85fe7,ba3e3031-43c6-42f2-bf11-cf4ec904b7fa,1370464,apidae,paratrigona,aparatrigona impunctata,brazil,rondonia,-63.9,-8.76667,NA,"alvarenga, moacir",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,34d3ad11-a9a3-408c-8d3d-e7f9ed7e907e,0ff51abf-81ba-43fd-98e9-b4819219e7a8,1370390,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,-52.71416,5.2139,NA,"michener, charles",568e209f-d072-4fd6-8b64-27954b0fd731,NA
