database_id,searchName,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,year,country,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,recordedBy
GBIF_31,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,658371634,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_32,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,658372576,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_33,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,658375045,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_34,1,"Aparatrigona impunctata (Ducke, 1916)",-0.316667,-66.683333,1065778628,PRESERVED_SPECIMEN,1999-09-28T00:00:00Z,1999,Brazil,Amazonas,Morro dos Seis Lagos,NA,NA,"Rafael, José; Vidal, J."
GBIF_35,1,"Aparatrigona impunctata (Ducke, 1916)",-11.176639,-62.782806,1092733588,PRESERVED_SPECIMEN,1997-07-17T00:00:00Z,1997,Brazil,Rondonia,"Linha 78, Mirante da Serra",NA,NA,"Brown, Boina, Vieira"
GBIF_36,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733527,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_37,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733498,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_38,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733519,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_39,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733538,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_40,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733536,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_41,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733510,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_42,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733509,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_43,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733501,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_44,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733533,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_45,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733507,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_46,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733535,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_47,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733526,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_48,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733508,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_49,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733521,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_50,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733505,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_51,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733506,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_52,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733528,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_53,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733518,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_54,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733517,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_55,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733539,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_56,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733522,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
